loan_amnt,int_rate,grade,emp_title,emp_length,home_ownership,annual_inc,loan_status,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc
6000,11.99,B,"Hp Enterprise Services, LLC",1 year,RENT,89700,Charged Off,14.73,Feb-04,13,0,4928,55.4,17
12000,9.17,B,Private Client Banker,4 years,RENT,100000,Fully Paid,9.26,Jan-03,8,2,15979,34.1,18
20950,24.7,G,Advocate IMMC,10+ years,MORTGAGE,160000,Charged Off,15.5,May-04,27,0,24251,81.9,43
12500,8.9,A,Teacher ,7 years,RENT,65000,Fully Paid,9.19,Oct-04,16,0,16295,47.1,28
16000,6.39,A,Account Specialist,4 years,MORTGAGE,45000,Fully Paid,11.52,Jul-03,2,0,19398,100.5,9
20000,8.39,A,Project Manager,1 year,RENT,65000,Fully Paid,10.35,Mar-08,9,0,8566,32.4,12
24000,16.29,C,Federal Aviation Administration ,6 years,MORTGAGE,125000,Fully Paid,18.86,Apr-99,14,0,41683,79.7,38
27000,7.91,A,Administrator,10+ years,MORTGAGE,119000,Fully Paid,23.66,Aug-88,18,0,23960,28.7,53
11900,12.12,B,USN,10+ years,RENT,125000,Fully Paid,21.5,Apr-04,9,0,44450,92.6,30
10575,11.14,B,CCSD,10+ years,MORTGAGE,65000,Fully Paid,30.22,Jul-95,16,1,8650,32,59
17600,15.88,C,Henry River Manufacturing,10+ years,MORTGAGE,50000,Charged Off,21.05,Oct-04,19,0,8668,49.5,26
12000,14.09,B,corner bakery cafe,3 years,RENT,43000,Fully Paid,16.66,Oct-03,9,0,11448,77.9,18
35000,11.67,B,Engineering Manager,10+ years,MORTGAGE,99000,Fully Paid,13.92,Aug-94,11,0,51032,87.2,32
5000,14.49,C,Customer Service,6 years,RENT,35000,Fully Paid,36.76,Nov-97,12,0,8012,37.8,20
12000,17.27,C,US Army Research Laboratory,1 year,RENT,55000,Fully Paid,14.07,Aug-06,14,0,17675,59.5,25
4000,11.14,B,COUNTY OF SAN DIEGO,8 years,RENT,48000,Charged Off,19.8,Dec-99,6,0,2347,36.1,21
10000,14.65,C,Mortgage Banker,4 years,RENT,36000,Fully Paid,24.52,Sep-09,2,0,9921,79.4,8
12100,17.86,D,Driver,10+ years,MORTGAGE,48000,Fully Paid,25.58,May-01,12,1,8844,40,28
3250,16.99,D,Field Service Representative,3 years,RENT,26000,Charged Off,26.96,May-91,19,1,3848,27.9,22
10500,13.67,B,Manager,8 years,MORTGAGE,90000,Fully Paid,26.55,Mar-95,9,0,28033,80.3,18
16000,7.9,A,Professor,10+ years,MORTGAGE,70000,Fully Paid,7.37,May-93,11,0,18470,59.6,36
18000,9.63,A,WVDOT,6 years,MORTGAGE,38244,Fully Paid,4.05,Aug-70,6,0,8259,42.8,7
12000,15.61,C,Sales Consultant,6 years,MORTGAGE,115000,Fully Paid,15.53,Mar-07,10,0,19283,61.8,25
3000,23.7,F,Secretary ,1 year,RENT,29000,Charged Off,25.33,Jan-02,11,0,11765,75.9,17
8875,14.98,C,Crew leader,10+ years,MORTGAGE,22500,Fully Paid,19.95,Nov-83,8,1,10971,38.5,17
20000,17.1,C,IT Help Desk Director,8 years,MORTGAGE,70000,Charged Off,23.25,Apr-00,14,0,24843,60,28
8400,15.61,C,,10+ years,RENT,51122.71,Fully Paid,28.08,Jul-01,13,0,14163,90.8,20
10000,14.33,C,St. Olaf College,3 years,RENT,60000,Charged Off,13.92,Dec-03,6,0,3445,80.1,20
23500,16.29,C,Scheffel & Company,5 years,MORTGAGE,62000,Fully Paid,12.75,Oct-00,11,0,22269,90.2,31
20000,5.32,A,Operator,10+ years,MORTGAGE,110000,Fully Paid,16.24,Jul-95,14,0,7750,13.5,37
22000,16.29,C,Coca-Cola Refreshments,9 years,MORTGAGE,45000,Fully Paid,29.52,Apr-01,15,0,26188,57.4,29
6000,9.99,B,Payroll Accountant,3 years,RENT,56000,Fully Paid,19.4,Aug-07,14,0,8202,45.8,18
24000,7.9,A,,,MORTGAGE,120000,Fully Paid,11.85,May-98,7,0,26951,55.1,16
5000,5.79,A,,,MORTGAGE,98000,Fully Paid,8.53,Jan-95,9,0,5035,28,32
12000,15.61,D,Quality Engineer,8 years,MORTGAGE,60000,Fully Paid,18.87,Aug-01,7,0,18150,76.3,18
30000,15.61,C,Pharmacist,5 years,MORTGAGE,138000,Fully Paid,19.59,Nov-07,10,0,27778,52.3,19
31175,24.08,F,Intake Specialist,10+ years,MORTGAGE,87115,Fully Paid,23.09,May-99,32,0,43437,69.3,51
18000,10.16,B,Methodist hospital,6 years,MORTGAGE,115000,Fully Paid,16.1,Jun-95,11,0,18131,59.1,19
9150,24.5,F,MACHINE OPERATOR,4 years,MORTGAGE,36000,Charged Off,26.92,Dec-03,13,0,9301,73.2,26
20950,17.86,D,driver,2 years,RENT,50000,Charged Off,38.77,Apr-10,8,0,12337,79.1,9
10000,13.35,C,Admin,8 years,RENT,60000,Fully Paid,5.74,Feb-97,4,0,7217,60,18
11200,13.99,C,relationship manager,4 years,OWN,110000,Fully Paid,3.71,Nov-01,11,1,7151,31.2,21
3250,10,B,"Hartline, Dacus, Barger, Dreyer & Kern",9 years,MORTGAGE,42000,Fully Paid,23.06,Jul-95,12,0,21232,37.4,32
15000,16.78,C,Dundee Animal Hospital,10+ years,MORTGAGE,37960,Charged Off,19.13,Oct-98,4,0,10580,95.3,6
7200,16.78,C,FIRST GUARANTY BANK,3 years,OWN,33000,Fully Paid,28.47,Mar-06,13,0,10681,85.4,35
8000,8.39,B,Mental Health Tech,3 years,RENT,58000,Fully Paid,12.85,Oct-94,8,0,4714,28.2,42
8325,6.62,A,Sun Life Financial,6 years,MORTGAGE,44000,Fully Paid,16.06,Dec-97,19,0,3041,17.4,24
15000,6.89,A,Project Coordinator,3 years,RENT,90000,Fully Paid,17.44,Feb-95,8,0,18026,64.4,34
35000,10.37,B,USAF,10+ years,RENT,85000,Fully Paid,6.37,Dec-95,8,0,18369,41.7,16
14000,18.49,D,VanDyk Mortgage,2 years,MORTGAGE,100000,Charged Off,24.1,Mar-86,13,0,65295,65.4,23
15250,17.77,D,,,RENT,40958.28,Fully Paid,33.46,Jan-04,14,0,15704,87.7,20
5000,13.35,C,clark,10+ years,OWN,30000,Charged Off,18.96,Jul-92,8,0,11373,49.7,19
18000,11.12,B,Lancaster Foods,8 years,MORTGAGE,62004,Fully Paid,19.51,Jul-83,7,0,13930,37.9,24
6500,14.72,C,Northern CA Retina vitreous ,3 years,RENT,23000,Fully Paid,21.13,Sep-06,4,0,4779,46,5
21000,11.67,B,"Clinical Content Specialist, RN",8 years,RENT,110000,Fully Paid,16.87,Feb-99,17,0,31638,77.9,39
18000,8.18,B,Hydrogeologist,2 years,RENT,65000,Fully Paid,23.57,Mar-00,10,0,25901,46.3,10
18000,25.78,F,Supervisor,10+ years,MORTGAGE,53000,Charged Off,20.45,Mar-03,8,0,9757,63.4,25
15000,8.9,A,City of San Francisco,5 years,MORTGAGE,85000,Fully Paid,15.08,Aug-00,10,0,12274,53.4,23
29975,23.99,F,Sales,2 years,MORTGAGE,60000,Fully Paid,20.94,Mar-01,10,0,48951,59.5,35
4000,8.18,B,Market Assistant,6 years,MORTGAGE,50000,Fully Paid,23.52,Dec-03,10,0,5532,40.4,25
27500,25.88,F,Customer Care,10+ years,RENT,55000,Fully Paid,35.85,Nov-99,9,0,22001,97.8,18
5000,11.53,B,FireFighter Marshal,10+ years,RENT,110000,Charged Off,5.02,Mar-92,7,0,5616,30.5,22
21075,18.49,E,Sales Manager,9 years,OWN,60000,Fully Paid,34.46,Jun-01,25,0,16226,34.6,45
15900,16.99,D,investigator,2 years,MORTGAGE,112000,Fully Paid,18.87,Jan-05,14,0,4856,16.3,35
11850,12.12,B,,9 years,RENT,68000,Fully Paid,3.05,Mar-07,8,0,7222,41.7,16
25000,20.99,E,Field engineer,2 years,MORTGAGE,94600,Fully Paid,26.99,Dec-97,9,0,22883,95,14
24000,13.67,C,Customer Support Acct Exec,10+ years,MORTGAGE,85000,Fully Paid,24.3,Apr-94,18,0,46888,76,31
10000,14.46,C,Estate Manager / Personal Chef,10+ years,RENT,60000,Charged Off,37.86,Apr-98,14,0,27560,79,22
31300,22.95,F,National Research Council,4 years,RENT,70500,Charged Off,15.1,May-00,9,0,16481,36.1,24
21000,12.29,C,forehearth operator,10+ years,MORTGAGE,130000,Fully Paid,14.57,Apr-97,9,0,23223,72.3,31
22750,20.8,E,Walt Disney World Co.,10+ years,MORTGAGE,52000,Charged Off,32.21,Nov-99,14,0,23587,85.5,31
20400,11.99,C,Fan set up Coordinator,1 year,RENT,50000,Fully Paid,19.68,Feb-00,9,0,6149,53,25
6400,12.99,C,Sales electronics,7 years,RENT,22000,Charged Off,24.11,Jul-05,6,1,5265,65.8,7
16000,14.3,C,Head Installer,< 1 year,RENT,42000,Fully Paid,25.86,Oct-99,8,0,10021,75.3,21
15000,10.99,B,VIP Front Desk Rep,4 years,RENT,45000,Fully Paid,10.61,Jul-07,7,0,14493,58.7,12
6000,13.11,B,,,MORTGAGE,42936.84,Fully Paid,26.91,Feb-75,12,0,1753,3.3,24
7000,13.17,D,Sutter Connect,2 years,MORTGAGE,49000,Fully Paid,16.09,Mar-95,16,0,24568,74.4,28
30000,19.05,D,Macy's,5 years,MORTGAGE,130000,Fully Paid,16.03,Feb-91,19,0,22949,79.7,24
24000,12.99,C,Prosecutor,10+ years,MORTGAGE,103000,Fully Paid,36.12,Nov-95,18,0,62460,82.8,38
17000,17.77,D,St. Francis Hospital,3 years,RENT,60190,Fully Paid,27.73,Nov-01,19,0,22731,72.6,35
5500,12.99,B,,,MORTGAGE,75000,Fully Paid,4.72,Jul-92,13,1,4757,10.9,38
4000,9.76,B,Kaulkin Ginsberg,< 1 year,RENT,63000,Fully Paid,2.7,Jun-89,8,0,4010,8.1,17
3500,10.16,B,United supermarkets,10+ years,MORTGAGE,92000,Fully Paid,6.42,Apr-00,6,0,6481,69.7,17
28000,16.99,D,"Director, Laboratory Services",10+ years,MORTGAGE,101000,Fully Paid,14.53,Aug-95,19,0,19653,69.4,33
35000,17.86,D,Analyst,10+ years,MORTGAGE,85728.24,Charged Off,34.24,Jul-96,14,0,27061,68.9,25
8000,8.9,A,Sears Logistics Service,10+ years,MORTGAGE,37000,Fully Paid,23.51,Jan-93,13,1,7483,47.1,19
9500,16.99,D,LPN,10+ years,OWN,26400,Fully Paid,15.32,Sep-98,11,0,8012,52.4,20
28000,9.99,B,Senior Buyer,1 year,MORTGAGE,85000,Fully Paid,17.2,Mar-92,20,1,33989,49.6,39
12000,15.88,C,"Logos Emergency Specialists, LLC",10+ years,MORTGAGE,53000,Charged Off,19.04,Mar-02,12,0,17383,65.3,20
31000,9.67,B,Financial Mgmt Analyst,10+ years,MORTGAGE,115000,Fully Paid,11.37,Oct-94,17,0,18125,56.6,49
10000,8.9,A,Sales rep,10+ years,MORTGAGE,90000,Fully Paid,11.6,Jun-02,17,0,10953,49.1,27
12000,11.99,B,Project Manager,8 years,MORTGAGE,79000,Fully Paid,21.04,Oct-92,12,0,10833,53,28
12000,13.66,C,Manager of the Professional Gardeners,10+ years,MORTGAGE,30000,Fully Paid,32.32,May-02,6,0,6590,40.4,19
14000,17.88,E,Rabobank,9 years,RENT,35000,Fully Paid,16.73,Aug-03,9,0,7524,59.7,12
7300,14.49,C,Analyst,2 years,RENT,55000,Fully Paid,25.35,Jul-10,14,0,11459,40.8,19
6400,11.99,B,Investment Broker,1 year,RENT,55000,Fully Paid,23.59,Oct-00,9,0,12437,94.9,23
12000,8.9,A,Design Engineer,2 years,MORTGAGE,60000,Fully Paid,12.2,Apr-83,14,0,13353,34,24
4800,14.98,C,Parts Professional,< 1 year,MORTGAGE,52000,Charged Off,11.33,Apr-07,9,0,2988,42.7,17
8000,6.03,A,Manager of Business Development,< 1 year,MORTGAGE,130000,Fully Paid,15.62,Sep-98,10,0,49202,65.8,25
26000,14.33,C,Maxim Integrated,10+ years,MORTGAGE,90000,Fully Paid,11.41,Aug-99,18,0,16212,27.4,30
17000,17.86,D,Asset Protection SUpervisor,3 years,RENT,43400,Fully Paid,18.81,Aug-08,6,0,9553,80.3,10
7000,11.99,B,,,RENT,53000,Fully Paid,4.96,Mar-92,4,2,6011,63.3,9
7000,13.99,C,Electronics Technician,4 years,RENT,90000,Charged Off,19.63,Apr-06,8,0,1420,88.7,29
14000,18.25,D,H5,6 years,RENT,124000,Fully Paid,10.28,Dec-95,11,0,49452,90.3,27
10200,7.9,A,Genworth Financial,< 1 year,MORTGAGE,65000,Fully Paid,16.98,Nov-00,13,0,23338,38.4,27
25000,18.25,F,ACE Group,< 1 year,RENT,165000,Fully Paid,6.07,Feb-93,6,0,10597,68.4,16
15000,25.57,F,Grants & Contract/Accountant,7 years,RENT,63238.5,Fully Paid,14.99,Sep-08,5,0,4879,88.7,9
7000,10.99,B,,,MORTGAGE,45684,Fully Paid,10.17,Sep-97,5,1,4800,90.6,14
23475,24.08,F,Mission Support Specialist,5 years,MORTGAGE,73500,Fully Paid,26.86,Dec-93,15,1,19157,44.7,56
24475,16.99,D,Licensed Real Estate Sales Agent,4 years,RENT,61000,Charged Off,14.37,Apr-05,4,0,24473,97.1,5
21000,7.9,A,Business Analyst,2 years,RENT,300000,Fully Paid,6.22,Nov-96,12,0,26421,69.5,20
20000,12.88,C,Lineman,< 1 year,MORTGAGE,72000,Fully Paid,23.82,Oct-02,11,0,18970,62.8,37
7000,10.99,B,"Associate Director, Programs & Student A",3 years,RENT,57000,Fully Paid,13.83,Jul-00,14,0,7068,48.7,28
18825,17.27,C,T. Rowe Price,4 years,MORTGAGE,47000,Charged Off,10.93,Mar-97,12,0,20116,56.2,32
18000,15.8,C,Creative Children ,1 year,MORTGAGE,65000,Fully Paid,7.03,Mar-02,7,1,13416,74.1,14
7000,9.16,B,Sr Operations Analyst,3 years,RENT,68000,Fully Paid,11.68,May-03,7,1,3591,29.2,20
10000,13.98,C,Laborer,2 years,RENT,35000,Charged Off,11.52,Sep-09,13,0,6612,63.6,28
6000,13.99,C,Great Clips,3 years,RENT,35000,Fully Paid,16.03,Aug-00,8,0,13780,79.7,34
19950,18.55,D,Azusa pacafic Uuiversity,10+ years,MORTGAGE,50000,Fully Paid,21.43,Mar-02,17,0,29482,54.9,26
12000,11.53,B,Operations,4 years,MORTGAGE,58000,Fully Paid,37.18,May-91,19,0,8615,17.4,37
21000,15.61,C,Technician,10+ years,MORTGAGE,89319.66,Fully Paid,16.65,Nov-82,10,0,51891,84,40
3225,12.29,C,Web Marketing,8 years,RENT,40000,Fully Paid,5.49,Feb-80,5,1,4659,46.6,10
20000,20.5,E,Database Administrator (IT),10+ years,MORTGAGE,125000,Fully Paid,12.13,Jul-02,7,0,5015,54.5,18
14000,15.31,C,City of Port Angeles,3 years,RENT,58800,Fully Paid,14.92,Oct-01,13,0,4218,78.1,43
17600,9.67,B,Exception Specialist,10+ years,MORTGAGE,59295,Fully Paid,19.87,Jul-95,6,0,26969,52.4,13
20400,19.72,D,Invertix,< 1 year,MORTGAGE,112000,Fully Paid,16.91,Jul-00,6,0,30654,90.2,20
10000,18.09,F,hopewell-prince george driving school,1 year,MORTGAGE,78300,Fully Paid,21.69,Aug-00,7,0,67776,98.2,16
11500,12.59,C,Registered nurse,< 1 year,RENT,65000,Fully Paid,25.87,Sep-06,5,0,5534,64.3,14
12775,14.65,C,heavener schools,10+ years,MORTGAGE,50000,Charged Off,8.9,Apr-92,9,1,14518,79.3,23
7000,6.92,A,Unlimited Salon and Day Spa,8 years,RENT,26004,Fully Paid,22.06,Aug-98,7,0,9632,25.5,13
35000,16.29,D,CFO,2 years,MORTGAGE,160000,Fully Paid,23.6,Jan-87,13,0,51650,87.7,29
22000,13.67,B,Sr. Tech. Writer,5 years,MORTGAGE,89000,Fully Paid,23.1,May-94,19,0,29261,60.1,43
9350,16.29,C,Santa Clara Valley Health and Hospital,10+ years,RENT,45000,Charged Off,15.49,May-90,4,0,9980,95,10
21200,14.98,C,Professor,3 years,MORTGAGE,72500,Fully Paid,18.1,Jun-83,11,0,4662,38.8,23
21000,9.17,B,Vice President of Operations,1 year,MORTGAGE,300000,Fully Paid,14.53,May-99,11,0,40302,77.1,23
6000,13.11,B,State of Georgia,3 years,RENT,31000,Charged Off,27.75,Oct-05,24,0,5425,43.1,27
16000,12.21,B,Law Office,< 1 year,RENT,84000,Fully Paid,17.8,Jul-95,16,0,24177,20.2,28
16000,13.99,C,Analyst,10+ years,MORTGAGE,120000,Charged Off,23.45,Dec-01,10,0,10138,70.4,28
5600,14.31,C,bus operator,5 years,RENT,32000,Charged Off,25.77,Nov-05,7,0,4553,36.1,9
15750,18.92,D,Technician,4 years,RENT,40000,Charged Off,29.56,Dec-98,13,0,16582,72.7,32
8200,11.14,B,Shelper Construction,10+ years,MORTGAGE,35230,Fully Paid,34.13,Feb-87,13,0,23641,36.4,20
16000,5.32,A,Premises & Facilities Lead,7 years,RENT,110000,Fully Paid,6.12,Mar-04,9,0,2832,2.2,52
5875,6.03,A,Social Work Case Manager,4 years,RENT,52000,Fully Paid,28.69,Aug-02,14,0,7832,33.6,36
18000,8.9,A,Approaching Pi,10+ years,MORTGAGE,90000,Fully Paid,9.08,May-99,6,0,5745,48.3,9
10000,14.09,B,medical facilities of america,10+ years,MORTGAGE,74000,Fully Paid,9.42,May-92,12,1,3993,35.5,36
9000,7.62,A,Morton Capital Management,5 years,RENT,150000,Fully Paid,8.2,Jul-86,7,1,8827,34.5,21
1500,11.22,B,Solutions Development Architect,10+ years,MORTGAGE,147376,Fully Paid,19.94,Aug-96,10,0,81378,84.5,20
10000,12.85,B,Health Tech.,4 years,MORTGAGE,39000,Fully Paid,25.45,Sep-04,16,1,9617,52.3,33
15000,16.29,C,PCA,10+ years,MORTGAGE,75000,Fully Paid,13.97,Sep-96,6,0,14913,72,29
15000,15.1,C,TEAM LEADER,10+ years,RENT,72000,Fully Paid,24.9,Sep-92,19,0,11153,32.3,37
9325,15.8,C,CBS Television Distribution,10+ years,RENT,112632,Fully Paid,13.7,Oct-02,5,0,29098,98.6,25
18000,9.49,B,proffesional land surveyor,5 years,MORTGAGE,75000,Fully Paid,3.34,Nov-04,3,0,10066,45.8,4
10000,6.99,A,Security Screening Officer,10+ years,MORTGAGE,45000,Fully Paid,13.23,Aug-00,7,3,6679,59.1,27
16000,12.99,C,Case worker,5 years,MORTGAGE,110000,Fully Paid,11.96,Oct-01,17,0,10037,41.9,45
3800,6.54,A,Housing Authority of CityNew Britain,10+ years,MORTGAGE,88000,Fully Paid,24.82,Apr-98,18,0,34766,33.5,55
20000,8.19,A,Operation Tech,4 years,OWN,75000,Fully Paid,11.75,May-00,9,1,6356,28.4,20
19950,11.99,B,,,MORTGAGE,50000,Fully Paid,13.39,Jul-02,15,0,25940,38.9,29
4000,11.53,B,warehouse associate,4 years,MORTGAGE,28000,Fully Paid,13.8,Jan-06,8,0,4445,53.6,11
10000,12.69,C,Tech Services Lead,10+ years,MORTGAGE,81250,Fully Paid,16.03,Dec-96,8,0,2809,85.1,34
16000,16.49,D,Truck Driver,10+ years,MORTGAGE,50000,Charged Off,8.35,Aug-09,6,0,15043,77.5,7
25000,18.25,D,,,MORTGAGE,72500,Fully Paid,12.03,Oct-87,17,0,21260,41,44
20000,25.8,G,MEDICAL RECORD,10+ years,MORTGAGE,60000,Charged Off,33.96,Aug-01,17,0,26023,75.2,47
16200,21.67,E,dept manager,10+ years,MORTGAGE,62000,Charged Off,15.7,Mar-03,7,1,9558,73.5,24
10000,14.65,C,Engineer,5 years,MORTGAGE,115000,Fully Paid,31.58,Aug-03,26,0,42964,75.5,62
14400,9.17,B,Senior Auditor,5 years,RENT,72000,Fully Paid,14.03,Jun-06,14,0,14901,74.5,30
3850,13.11,B,Dental associates of basking ridge,10+ years,OWN,74000,Fully Paid,14.69,Mar-97,20,0,2350,6,41
13900,19.99,E,Loan officer,2 years,RENT,60000,Fully Paid,21.43,Oct-99,11,0,11723,82.6,29
17450,14.46,C,building inspector,4 years,MORTGAGE,80000,Fully Paid,17.07,Aug-00,11,1,12397,46.8,28
5000,6.91,A,Home Power Inc,9 years,RENT,55000,Fully Paid,2.88,May-97,3,0,4676,21.5,17
5000,7.9,A,,,RENT,25500,Fully Paid,19.25,Oct-06,21,0,5524,69.9,22
8800,6.68,A,restaurant manager,9 years,MORTGAGE,58000,Fully Paid,18.1,Nov-95,15,0,21130,37.5,35
16000,7.62,A,Napa State Hospital,9 years,MORTGAGE,70000,Fully Paid,26.4,Dec-99,18,0,18326,80.4,30
7000,15.31,C,Staten Island University Hospital,10+ years,RENT,36860,Fully Paid,14.65,Feb-97,7,0,7654,79.8,11
4000,9.99,B,OPERATOR MACHINE,9 years,MORTGAGE,30000,Fully Paid,10.44,Jul-07,15,0,1045,4.1,20
20325,22.45,F,Product Designer,3 years,MORTGAGE,56500,Fully Paid,14.08,Jan-02,11,0,22410,84.2,25
5000,6.03,A,St. Tammany School Board,10+ years,MORTGAGE,67000,Fully Paid,16.07,Aug-89,19,0,10067,12.2,46
14975,15.61,D,Dental Assistant ,4 years,RENT,35000,Charged Off,10.84,Feb-07,10,1,10007,42.8,17
35000,18.25,D,,,MORTGAGE,90000,Fully Paid,24.45,Apr-92,10,0,24627,88.9,16
12000,11.99,B,Double Eagle,3 years,MORTGAGE,37596,Fully Paid,22.98,Aug-00,3,0,10450,90.9,12
24350,20.49,E,truck driver,7 years,MORTGAGE,58000,Charged Off,25.97,Aug-06,15,0,19245,69.2,24
6075,21.48,E,Office Manager,1 year,RENT,58000,Charged Off,5.21,Apr-00,11,0,3390,29.7,18
20950,20.99,F,Sysco Foods of Arkansas,1 year,MORTGAGE,46800,Fully Paid,19.92,Dec-03,12,0,13690,97.1,17
15000,13.33,C,Technician,7 years,RENT,64000,Charged Off,8.19,Dec-10,14,0,13890,47.4,16
20000,14.31,C,Owner,5 years,MORTGAGE,56000,Fully Paid,15.32,Oct-01,4,0,10203,85,27
5000,14.61,D,wells fargo,4 years,OWN,33000,Charged Off,18.62,Aug-01,5,0,5134,77.8,9
4800,14.33,C,,,MORTGAGE,60000,Fully Paid,31.3,Sep-97,10,1,3302,73.4,28
10000,14.09,B,JJM AUTO REPAIR,1 year,RENT,55000,Fully Paid,15.93,Sep-06,13,0,14215,68,21
7125,15.99,D,general manager,2 years,MORTGAGE,35000,Fully Paid,34.6,Jul-02,10,0,9252,98.4,23
20000,6.62,A,software architect,5 years,MORTGAGE,91800,Fully Paid,11.99,Sep-00,19,0,4835,19.9,39
8000,6.97,A,Respiratory Therapist,10+ years,RENT,80000,Fully Paid,8.73,Feb-79,15,1,1986,5.3,44
13000,13.06,C,Amazon.com,< 1 year,RENT,27996,Fully Paid,13.93,Dec-00,6,0,1092,7.6,28
12000,15.31,C,Martin Brower Co.,10+ years,RENT,57500,Fully Paid,10.35,Aug-91,5,0,23455,92,16
8050,13.33,C,Accounting assistant I,< 1 year,RENT,22436,Charged Off,33.07,Jan-08,15,0,3843,57.4,24
9750,18.49,D,Wishart safety training,10+ years,MORTGAGE,34000,Fully Paid,32.22,Aug-82,15,0,12332,78.1,31
10000,9.99,B,LABOR PRODUCTION,10+ years,MORTGAGE,45000,Charged Off,7.52,Jul-02,11,1,6171,36.1,26
5000,24.08,F,BMW Manufacturing,10+ years,MORTGAGE,90000,Charged Off,12.87,Jun-95,8,0,1124,9.9,17
10000,13.98,C,Program Mgmt Anaylist,10+ years,MORTGAGE,120705,Fully Paid,10.79,Jul-00,14,0,10078,27.1,23
15000,9.99,B,,10+ years,MORTGAGE,75000,Fully Paid,19.63,Dec-00,16,0,14679,47.7,45
9250,23.4,E,clerk,10+ years,MORTGAGE,56000,Fully Paid,29.19,Feb-01,9,0,10797,98.2,23
27525,21.67,E,Account Manager,1 year,RENT,60000,Charged Off,27.54,Jun-99,8,0,47889,95,13
12000,12.35,B,jg associates,4 years,MORTGAGE,82000,Fully Paid,17.17,Sep-93,9,1,4550,27.1,39
23000,8.18,B,Executive Pastor,10+ years,MORTGAGE,97000,Fully Paid,9.92,Oct-88,18,0,7616,5.9,40
2400,12.69,C,member service rep 11,9 years,RENT,32000,Fully Paid,16.57,Mar-06,6,0,4959,87,20
6000,13.04,C,Victoria's Secret,4 years,RENT,32496,Fully Paid,24.89,Oct-03,16,0,3139,50.6,25
24800,16.99,D,Nursing assistance ,10+ years,RENT,62000,Fully Paid,19.88,Nov-96,10,0,29724,43.8,11
13200,14.09,B,Palo Verde College,10+ years,MORTGAGE,78000,Fully Paid,14.66,Aug-85,12,0,20648,57,23
15000,12.05,C,Sales Representative / Floor Manager,6 years,MORTGAGE,60000,Fully Paid,15.48,Dec-03,6,1,3528,32.4,13
8975,15.8,C,Invitation Homes,< 1 year,RENT,90000,Fully Paid,4.56,Aug-99,7,1,1306,10.1,26
4800,16.2,C,Hvac technician,2 years,RENT,55000,Fully Paid,24.57,Jun-95,11,1,5782,46.3,40
15000,12.12,B,"Dept of Education, State of Hawaii",9 years,OWN,56000,Fully Paid,27.5,Jul-83,13,0,33169,79.3,42
1600,7.9,A,Bakersfield Memorial Hospital,3 years,RENT,71864,Fully Paid,5.68,Jan-07,3,0,0,0,3
21000,18.25,E,NY Technical Business Manager,7 years,RENT,128000,Charged Off,10.7,Aug-99,15,0,23017,56.7,37
15000,12.12,B,Phillips 66 Company,9 years,MORTGAGE,76136,Fully Paid,16.85,Sep-97,16,0,14711,70.1,31
6000,12.12,B,peninsula truck lines,9 years,RENT,60000,Fully Paid,5.82,May-99,3,0,9396,46.1,12
32000,14.33,C,Baltimore City Public School System,6 years,RENT,81970,Charged Off,31.88,Dec-06,9,0,6823,73.4,16
12500,13.49,C,rexam,2 years,MORTGAGE,24960,Fully Paid,12.64,Jan-96,7,0,13376,85.7,18
16000,16.29,C,Costco Wholesale,9 years,MORTGAGE,68500,Fully Paid,14.56,Jun-98,11,0,3403,22.2,33
7800,12.99,C,CSSO,9 years,RENT,85000,Fully Paid,25.92,Dec-02,19,0,7163,62.8,31
12000,7.26,A,Self,3 years,OWN,48000,Fully Paid,12.73,Oct-01,5,0,9788,75.3,13
12000,7.49,A,Ragnar Benson,4 years,RENT,113000,Fully Paid,5.6,Apr-04,6,0,3010,7.5,9
9875,15.41,D,Stores Manager,10+ years,RENT,41000,Fully Paid,23.4,Dec-95,10,0,2933,50.6,32
8500,11.67,B,Filter Tech,10+ years,RENT,36000,Charged Off,32.83,Sep-03,7,0,4019,77.3,39
19600,15.1,C,Grocery,10+ years,RENT,44000,Fully Paid,7.97,Aug-93,7,0,17699,46.8,17
30000,9.67,B,Director of Human Resources,5 years,MORTGAGE,81000,Fully Paid,25.05,Jan-87,14,0,31822,48.4,25
4000,12.79,C,Buyer,2 years,RENT,53000,Fully Paid,16.73,Jul-09,14,0,3980,23.4,24
9000,10.99,B,Presell account manager ,6 years,MORTGAGE,60000,Fully Paid,19.34,Oct-05,9,0,4700,41.6,16
16000,6.62,A,City of Toledo,2 years,MORTGAGE,143000,Fully Paid,3.08,Sep-74,6,0,4592,46.4,20
18800,17.1,C,Advanced Solutions Architect,4 years,MORTGAGE,120000,Fully Paid,17.45,Feb-02,15,0,17922,68.7,26
24000,9.17,B,mechanic,8 years,MORTGAGE,60000,Charged Off,19.9,Nov-07,23,0,19217,29.4,29
26375,23.4,E,Administrative Assistant,5 years,OWN,60000,Fully Paid,22.08,Aug-01,13,1,18341,78.7,15
11000,13.99,C,Analytical Chemist,2 years,OWN,55000,Fully Paid,14.84,Aug-09,6,0,2607,50.1,8
8000,8.59,A,"Computer Aid, Inc.",4 years,MORTGAGE,56000,Fully Paid,1.82,May-00,9,0,3258,5.5,9
